,worker_id,num_of_hist
56,A37CE37LHUN8M6,11
57,A2M5VW97GIYLHB,3
58,A37CE37LHUN8M6,11
59,AOBTFLJU2BEPR,9
60,A1ZGQC0J00M69W,7
61,AYJGQBBK6KXZ7,5
62,A20I3A6VWC2T5C,28
63,A3MA1SVP12F3DO,1
64,A2UF2FRGVW4T89,10
65,AYJGQBBK6KXZ7,5
66,ADAKTHXLJRCI7,1
67,A33B85TN97HQ33,17
68,A20I3A6VWC2T5C,28
69,A4CPMNA135GK4,1
70,A20I3A6VWC2T5C,28
71,A37CE37LHUN8M6,11
72,A2HTN7HCNBQ8V4,4
73,A33B85TN97HQ33,17
74,A20I3A6VWC2T5C,28
75,A2OW2CIT4H7364,13
76,A1TPCNI0K1EVYD,4
77,A70L26UXLTGLC,1
78,A1TPCNI0K1EVYD,4
79,A37CE37LHUN8M6,11
80,AYJGQBBK6KXZ7,5
81,A1ZGQC0J00M69W,7
82,A2CMYWI1J292YJ,1
83,A2UF2FRGVW4T89,10
84,A3GUJ6JD25FX7O,7
85,A37CE37LHUN8M6,11
86,A2HR7ZIX42FEPG,1
87,A1RUURPQJ14A8X,4
88,A3KM6AF7CGASHJ,1
89,A2OW2CIT4H7364,13
90,ARYYSG1HT2UDX,14
91,AHI4R9YE0SF9E,1
92,A31J3022SQPIMW,1
93,A20I3A6VWC2T5C,28
94,ANUG05IDFTWF,1
95,A20I3A6VWC2T5C,28
96,ARYYSG1HT2UDX,14
97,AOBTFLJU2BEPR,9
98,A1ZGQC0J00M69W,7
99,AOBTFLJU2BEPR,9
100,A1ZGQC0J00M69W,7
101,A1FGKIKJYSL1MI,3
102,A2M5VW97GIYLHB,3
103,A20I3A6VWC2T5C,28
104,A33B85TN97HQ33,17
105,AYJGJAIY0EXW,3
106,AYJGJAIY0EXW,3
107,ANMD34DNHLOLC,2
108,A37CE37LHUN8M6,11
109,A1ZGQC0J00M69W,7
110,A3RS7UCO7CQ74R,5
111,A33B85TN97HQ33,17
112,A31FD3QCYZ28Q2,2
113,ARYYSG1HT2UDX,14
114,A1TPCNI0K1EVYD,4
115,AOBTFLJU2BEPR,9
116,ARYYSG1HT2UDX,14
117,A2OW2CIT4H7364,13
118,A20I3A6VWC2T5C,28
119,A37CE37LHUN8M6,11
120,AHKOZVL0KZKAB,1
121,ARYYSG1HT2UDX,14
122,A2S09R2TB55WBN,1
123,A20I3A6VWC2T5C,28
124,A2HTN7HCNBQ8V4,4
125,AP4903X7HCNBA,8
126,AYJGQBBK6KXZ7,5
127,A31FD3QCYZ28Q2,2
128,A20I3A6VWC2T5C,28
129,A1OUSVNEED63KR,1
130,A33B85TN97HQ33,17
131,A20I3A6VWC2T5C,28
132,ARYYSG1HT2UDX,14
133,A2OW2CIT4H7364,13
134,A20I3A6VWC2T5C,28
135,A3GQ3N00IBM717,2
136,A2OW2CIT4H7364,13
137,A33B85TN97HQ33,17
138,ARYYSG1HT2UDX,14
139,A2OW2CIT4H7364,13
140,ARYYSG1HT2UDX,14
141,A20I3A6VWC2T5C,28
142,A3RS7UCO7CQ74R,5
143,A20I3A6VWC2T5C,28
144,A37CE37LHUN8M6,11
145,AP4903X7HCNBA,8
146,A1TPCNI0K1EVYD,4
147,ANMD34DNHLOLC,2
148,A2OW2CIT4H7364,13
149,A20I3A6VWC2T5C,28
150,A2OW2CIT4H7364,13
151,A2YKW761AK4ZGY,2
152,A3GUJ6JD25FX7O,7
153,A3GQ3N00IBM717,2
154,A3GUJ6JD25FX7O,7
155,A33B85TN97HQ33,17
156,AI4AO0O0WIJF7,1
157,A20I3A6VWC2T5C,28
158,A2OW2CIT4H7364,13
159,AYJGQBBK6KXZ7,5
160,A20I3A6VWC2T5C,28
161,A2OW2CIT4H7364,13
162,A33B85TN97HQ33,17
163,A20I3A6VWC2T5C,28
164,A33B85TN97HQ33,17
165,AOBTFLJU2BEPR,9
166,A20I3A6VWC2T5C,28
167,A2UF2FRGVW4T89,10
168,A2M5VW97GIYLHB,3
169,AP4903X7HCNBA,8
170,A33B85TN97HQ33,17
171,A1RUURPQJ14A8X,4
172,A2UF2FRGVW4T89,10
173,A20I3A6VWC2T5C,28
174,A20I3A6VWC2T5C,28
175,A3RS7UCO7CQ74R,5
176,A3GUJ6JD25FX7O,7
177,A2UF2FRGVW4T89,10
178,A3GUJ6JD25FX7O,7
179,A33B85TN97HQ33,17
180,A20I3A6VWC2T5C,28
181,A2YKW761AK4ZGY,2
182,A3ONQGH25UTI53,1
183,A2OW2CIT4H7364,13
184,A33B85TN97HQ33,17
185,ARYYSG1HT2UDX,14
186,AP4903X7HCNBA,8
187,A1SKAGZXTWZW9D,1
188,A3GUJ6JD25FX7O,7
189,A20I3A6VWC2T5C,28
190,A20I3A6VWC2T5C,28
